Unnamed: 0,Brand,Model,Year,Price,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,VIN,Аварийная/Не на ходу,Двигатель
5, Toyota,Camry ,1998,"    2600000
    ₸
",Нур-Султан (Астана),седан,3 (бензин),,автомат,слева,синий,передний привод,Да,,,
6, Toyota,Camry ,2011,"    4500000
    ₸
",Актау,седан,2.5 (газ-бензин),276 804 км,автомат,слева,черный металлик,передний привод,Нет,,,
7, Volkswagen,Golf ,2003,"    2700000
    ₸
",Актау,хэтчбек,2 (бензин),248 000 км,механика,слева,серебристый,передний привод,Да,,,
8, Mercedes-Benz,E 200 ,1993,"    1500000
    ₸
",Шу,седан,2.2 (бензин),,механика,слева,черный,задний привод,Да,,,
9, Nissan,Almera ,2003,"    2000000
    ₸
",Текели,лифтбек,1.5 (дизель),,механика,слева,зеленый металлик,передний привод,Да,SJNFHAN1*U0****57,,
10, ВАЗ (Lada),2121 Нива ,2000,"    400000
    ₸
",Атбасар,внедорожник,1.7 (бензин),,механика,слева,белый,,Да,,,
11, УАЗ,Hunter ,2006,"    499990
    ₸
",Атбасар,внедорожник,2.4 (бензин),,механика,слева,,полный привод,Да,,,
12, ВАЗ (Lada),2115 (седан) ,2006,"    800000
    ₸
",Кызылорда,седан,1.6 (бензин),180 000 км,механика,слева,черный,передний привод,Нет,,,
13, Volkswagen,Golf ,1986,"    600000
    ₸
",Казыгурт,хэтчбек,1.8 (бензин),,механика,слева,,передний привод,Да,,,
14, Audi,A6 allroad ,2004,"    4000000
    ₸
",Тараз,универсал,2.7 (бензин),320 000 км,механика,слева,,полный привод,Да,,,
15, Volvo,S80 ,2001,"    1299000
    ₸
",Актобе,седан,2.4 (бензин),199 000 км,механика,слева,серебристый,передний привод,Нет,,,
16, Mitsubishi,Space Wagon ,1993,"    1300000
    ₸
",Арысь,минивэн,2 (газ-бензин),,механика,слева,бордовый,,Да,,,
17, ГАЗ,3110 (Волга) ,2003,"    400000
    ₸
",Атбасар,седан,2.6 (бензин),,механика,слева,бежевый,,Да,,Да,
18, Hyundai,Santa Fe ,2016,"    9650000
    ₸
",Нур-Султан (Астана),кроссовер,2.4 (бензин),110 391 км,автомат,слева,белый,полный привод,Да,,,
19, Daewoo,Nexia ,2006,"    900000
    ₸
",Туркестан,седан,1.6 (бензин),,механика,слева,,,Нет,,,
0, Volkswagen,Golf ,2003,"    2700000
    ₸
",Актау,хэтчбек,2 (бензин),248 000 км,механика,слева,серебристый,передний привод,Да,,,
1, Mercedes-Benz,E 200 ,1993,"    1500000
    ₸
",Шу,седан,2.2 (бензин),,механика,слева,черный,задний привод,Да,,,
2, Nissan,Almera ,2003,"    2000000
    ₸
",Текели,лифтбек,1.5 (дизель),,механика,слева,зеленый металлик,передний привод,Да,SJNFHAN1*U0****57,,
3, ВАЗ (Lada),2121 Нива ,2000,"    400000
    ₸
",Атбасар,внедорожник,1.7 (бензин),,механика,слева,белый,,Да,,,
4, УАЗ,Hunter ,2006,"    499990
    ₸
",Атбасар,внедорожник,2.4 (бензин),,механика,слева,,полный привод,Да,,,
5, ВАЗ (Lada),2115 (седан) ,2006,"    800000
    ₸
",Кызылорда,седан,1.6 (бензин),180 000 км,механика,слева,черный,передний привод,Нет,,,
6, Volkswagen,Golf ,1986,"    600000
    ₸
",Казыгурт,хэтчбек,1.8 (бензин),,механика,слева,,передний привод,Да,,,
7, Audi,A6 allroad ,2004,"    4000000
    ₸
",Тараз,универсал,2.7 (бензин),320 000 км,механика,слева,,полный привод,Да,,,
8, Volvo,S80 ,2001,"    1299000
    ₸
",Актобе,седан,2.4 (бензин),199 000 км,механика,слева,серебристый,передний привод,Нет,,,
9, Mitsubishi,Space Wagon ,1993,"    1300000
    ₸
",Арысь,минивэн,2 (газ-бензин),,механика,слева,бордовый,,Да,,,
10, ГАЗ,3110 (Волга) ,2003,"    400000
    ₸
",Атбасар,седан,2.6 (бензин),,механика,слева,бежевый,,Да,,Да,
11, Hyundai,Santa Fe ,2016,"    9650000
    ₸
",Нур-Султан (Астана),кроссовер,2.4 (бензин),110 391 км,автомат,слева,белый,полный привод,Да,,,
12, Daewoo,Nexia ,2006,"    900000
    ₸
",Туркестан,седан,1.6 (бензин),,механика,слева,,,Нет,,,
13, Daewoo,Nexia ,2012,"    1700000
    ₸
",Алматы,седан,1.5 (бензин),280 000 км,механика,слева,белый,передний привод,Да,,,
14, ВАЗ (Lada),2114 (хэтчбек) ,2012,"    1620000
    ₸
",Жезказган,хэтчбек,1.6 (бензин),,механика,слева,зеленый,передний привод,Да,,,
15, ВАЗ (Lada),2114 (хэтчбек) ,2004,"    550000
    ₸
",Семей,хэтчбек,1.6 (бензин),,механика,слева,серый,передний привод,Нет,,,
16, Mazda,929 ,1989,"    700000
    ₸
",Алматы,седан,2.2 (бензин),320 000 км,механика,слева,синий,задний привод,Да,,,
17, Audi,100 ,1990,"    1000000
    ₸
",Павлодар,седан,2.3 (бензин),360 000 км,механика,слева,синий,передний привод,Да,,,
18, Mitsubishi,Space Runner ,1992,"    1480000
    ₸
",Караганда,минивэн,1.8 (бензин),,механика,слева,зеленый,передний привод,Да,,,
19, BMW,520 ,1992,"    1400000
    ₸
",Алматы,седан,2 (бензин),,механика,слева,вишня,задний привод,Да,,,
0, Hyundai,Santa Fe ,2016,"    9650000
    ₸
",Нур-Султан (Астана),кроссовер,2.4 (бензин),110 391 км,автомат,слева,белый,полный привод,Да,,,
1, Daewoo,Nexia ,2006,"    900000
    ₸
",Туркестан,седан,1.6 (бензин),,механика,слева,,,Нет,,,
2, Daewoo,Nexia ,2012,"    1700000
    ₸
",Алматы,седан,1.5 (бензин),280 000 км,механика,слева,белый,передний привод,Да,,,
3, ВАЗ (Lada),2114 (хэтчбек) ,2012,"    1620000
    ₸
",Жезказган,хэтчбек,1.6 (бензин),,механика,слева,зеленый,передний привод,Да,,,
4, ВАЗ (Lada),2114 (хэтчбек) ,2004,"    550000
    ₸
",Семей,хэтчбек,1.6 (бензин),,механика,слева,серый,передний привод,Нет,,,
5, Mazda,929 ,1989,"    700000
    ₸
",Алматы,седан,2.2 (бензин),320 000 км,механика,слева,синий,задний привод,Да,,,
6, Audi,100 ,1990,"    1000000
    ₸
",Павлодар,седан,2.3 (бензин),360 000 км,механика,слева,синий,передний привод,Да,,,
7, Mitsubishi,Space Runner ,1992,"    1480000
    ₸
",Караганда,минивэн,1.8 (бензин),,механика,слева,зеленый,передний привод,Да,,,
8, BMW,520 ,1992,"    1400000
    ₸
",Алматы,седан,2 (бензин),,механика,слева,вишня,задний привод,Да,,,
9, УАЗ,Patriot ,2015,"    3970000
    ₸
",Шымкент,пикап,2.7 (газ-бензин),,механика,слева,,полный привод,Да,,,
10, Mazda,Xedos 6 ,1993,"    800000
    ₸
",Кызылорда,седан,2 (газ-бензин),,автомат,слева,вишня,передний привод,Да,,,
11, Nissan,Almera Classic ,2006,"    2000000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),156 692 км,автомат,слева,синий,передний привод,Нет,,,
12, Toyota,Windom ,1999,"    1700000
    ₸
",Алматы,седан,2.5 (бензин),460 005 км,автомат,справа,белый,передний привод,Нет,,,
13, ВАЗ (Lada),2115 (седан) ,2006,"    700000
    ₸
",Павлодар,седан,1.5 (бензин),,механика,слева,,передний привод,Нет,,,
14, Toyota,Camry ,2007,"    4350000
    ₸
",Алматы,седан,2.4 (бензин),196 000 км,автомат,слева,красный,передний привод,Да,,,
15, ВАЗ (Lada),2114 (хэтчбек) ,2006,"    750000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),200 000 км,механика,слева,черный,передний привод,Нет,,,
16, ВАЗ (Lada),2172 (хэтчбек) ,2011,"    1750000
    ₸
",Шымкент,хэтчбек,1.6 (бензин),173 000 км,механика,слева,серебристый,передний привод,Да,,,
17, Mercedes-Benz,E 230 ,1990,"    1100000
    ₸
",Тараз,универсал,2.3 (бензин),,механика,слева,синий металлик,задний привод,Да,,,
18, Renault,Duster ,2014,"    4800000
    ₸
",Караганда,кроссовер,2 (бензин),105 000 км,механика,слева,,полный привод,Да,,,
19, Hyundai,Santa Fe ,2021,"    17100000
    ₸
",Шымкент,кроссовер,2.5 (бензин),,автомат,слева,белый,передний привод,Да,,,
0, ВАЗ (Lada),2172 (хэтчбек) , 2011,"    1750000
    ₸
",Шымкент,хэтчбек,1.6 (бензин),173 000 км,механика,слева,серебристый,передний привод,Да,,,
1, Mercedes-Benz,E 230 , 1990,"    1100000
    ₸
",Тараз,универсал,2.3 (бензин),,механика,слева,синий металлик,задний привод,Да,,,
2, Renault,Duster , 2014,"    4800000
    ₸
",Караганда,кроссовер,2 (бензин),105 000 км,механика,слева,,полный привод,Да,,,
3, Hyundai,Santa Fe , 2021,"    17100000
    ₸
",Шымкент,кроссовер,2.5 (бензин),,автомат,слева,белый,передний привод,Да,,,
4, ВАЗ (Lada),2112 (хэтчбек) , 2002,"    400000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),,механика,слева,серебристый,передний привод,Нет,,,
5, Daewoo,Nexia , 2014,"    1750000
    ₸
",Талдыкорган,седан,1.5 (бензин),155 900 км,механика,слева,белый,передний привод,Да,,,
6, Chevrolet,Captiva , 2008,"    3800000
    ₸
",Караганда,кроссовер,2.4 (бензин),,механика,слева,белый,полный привод,Да,,,
7, Mercedes-Benz,E 200 , 1991,"    850000
    ₸
",Тараз,седан,2 (бензин),123 456 км,механика,слева,голубой,задний привод,Да,,,
8, ГАЗ,ГАЗель , 2004,"    3500000
    ₸
",Павлодар,пикап,2.9 (газ-бензин),150 000 км,механика,слева,белый,задний привод,Да,,,
9, Toyota,Corolla , 1992,"    1200000
    ₸
",Алматы,хэтчбек,1.6 (бензин),,автомат,справа,зеленый,полный привод,Да,,,
10, Audi,80 , 1988,"    1300000
    ₸
",Курчум,седан,1.8 (бензин),,механика,слева,золотистый,передний привод,Да,,,
11, ГАЗ,ГАЗель , 2004,"    2500000
    ₸
",Кульсары,пикап,2.9 (газ-бензин),222 222 км,механика,слева,белый,задний привод,Да,,,
12, ВАЗ (Lada),2172 (хэтчбек) , 2014,"    2580000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),,механика,слева,белый,передний привод,Да,,,
13, ВАЗ (Lada),2114 (хэтчбек) , 2013,"    1100000
    ₸
",Шымкент,хэтчбек,1.6 (бензин),126 000 км,механика,слева,серый,передний привод,Нет,,,
14, ВАЗ (Lada),2114 (хэтчбек) , 2008,"    950000
    ₸
",Шымкент,хэтчбек,1.5 (бензин),137 000 км,механика,слева,,передний привод,Нет,,,
15, Audi,80 , 1985,"    500000
    ₸
",Тараз,седан,2 (бензин),,механика,слева,серый,передний привод,Да,,,
16, Skoda,Octavia , 2011,"    4000000
    ₸
",Алматы,седан,1.8 (бензин),,типтроник,слева,серебристый,передний привод,Да,,,
17, Audi,80 , 1992,"    1100000
    ₸
",Павлодар,седан,2 (бензин),,механика,слева,зеленый,передний привод,Да,,,
18, ВАЗ (Lada) , 2015,года,"    2750000
    ₸
",Костанай,седан,1.6 (бензин),82 500 км,механика,слева,,передний привод,Да,,,
19, Nissan,Sunny , 1997,"    1250000
    ₸
",Алматы,седан,1.6 (бензин),190 000 км,механика,слева,синий,передний привод,Да,,,
0, ВАЗ (Lada),2172 (хэтчбек) , 2014,"    2580000
    ₸
",Нур-Султан (Астана),хэтчбек,1.6 (бензин),,механика,слева,белый,передний привод,Да,,,
1, ВАЗ (Lada),2114 (хэтчбек) , 2013,"    1100000
    ₸
",Шымкент,хэтчбек,1.6 (бензин),126 000 км,механика,слева,серый,передний привод,Нет,,,
2, ВАЗ (Lada),2114 (хэтчбек) , 2008,"    950000
    ₸
",Шымкент,хэтчбек,1.5 (бензин),137 000 км,механика,слева,,передний привод,Нет,,,
3, Audi,80 , 1985,"    500000
    ₸
",Тараз,седан,2 (бензин),,механика,слева,серый,передний привод,Да,,,
4, Skoda,Octavia , 2011,"    4000000
    ₸
",Алматы,седан,1.8 (бензин),,типтроник,слева,серебристый,передний привод,Да,,,
5, Audi,80 , 1992,"    1100000
    ₸
",Павлодар,седан,2 (бензин),,механика,слева,зеленый,передний привод,Да,,,
6, ВАЗ (Lada) , 2015,года,"    2750000
    ₸
",Костанай,седан,1.6 (бензин),82 500 км,механика,слева,,передний привод,Да,,,
7, Nissan,Sunny , 1997,"    1250000
    ₸
",Алматы,седан,1.6 (бензин),190 000 км,механика,слева,синий,передний привод,Да,,,
8, ЗАЗ,Chance , 2010,"    800000
    ₸
",Актобе,хэтчбек,1.5 (бензин),79 000 км,механика,слева,,передний привод,Да,,,
9, Volkswagen,Caravelle , 1993,"    2900000
    ₸
",Шымкент,минивэн,1.9 (дизель),,механика,слева,,передний привод,Да,,,
10, Toyota,Hilux Surf , 1996,"    2900000
    ₸
",Петропавловск,внедорожник,3 (бензин),,механика,слева,вишня,полный привод,Да,,,
11, Volkswagen,Golf , 1995,"    1650000
    ₸
",Нур-Султан (Астана),хэтчбек,1.8 (бензин),170 000 км,автомат,слева,черный,передний привод,Да,,,
12, Nissan,Mistral , 1995,"    2450000
    ₸
",Алматы,внедорожник,2.7 (дизель),,автомат,справа,черный,полный привод,Да,,,
13, Volkswagen,Passat , 1993,"    1300000
    ₸
",Алматы,универсал,1.8 (бензин),,механика,слева,синий,передний привод,Да,,,
14, BMW,X5 , 2003,"    4500000
    ₸
",Туркестан,кроссовер,4.4 (бензин),,автомат,слева,золотистый,полный привод,Да,,,
15, ВАЗ (Lada) , 2012,года,"    1850000
    ₸
",Кабанбай батыра (Целиноградский р-н),седан,1.6 (бензин),,механика,слева,белый,передний привод,Да,,,
16, Mitsubishi,ASX , 2011,"    4200000
    ₸
",Костанай,кроссовер,1.6 (бензин),,механика,слева,черный,передний привод,Нет,,,
17, ВАЗ (Lada),2114 (хэтчбек) , 2012,"    1150000
    ₸
",Костанай,хэтчбек,1.6 (бензин),130 000 км,механика,слева,серебристый,передний привод,Нет,,,
18, Toyota,RAV 4 , 2014,"    9500000
    ₸
",Алматы,кроссовер,2 (бензин),109 860 км,вариатор,слева,белый,полный привод,Да,,,
19, Toyota,Venza , 2011,"    8200000
    ₸
",Тараз,кроссовер,2.7 (бензин),133 547 км,автомат,слева,серебристый,передний привод,Да,,,
0, Skoda,Fabia , 2010,"    2500000
    ₸
",Петропавловск,хэтчбек,1.2 (бензин),,механика,слева,голубой,передний привод,Нет,,,
1, ВАЗ (Lada),2114 (хэтчбек) , 2012,"    850000
    ₸
",Петропавловск,хэтчбек,1.6 (бензин),,механика,слева,серый,передний привод,Нет,,,
2, ВАЗ (Lada),Largus Cross , 2018,"    4000000
    ₸
",Уральск,универсал,1.6 (бензин),69 122 км,механика,слева,коричневый металлик,передний привод,Нет,XTARS045*J1****77,,
3, Mercedes-Benz,E 230 , 1989,"    800000
    ₸
",Караганда,седан,2.3 (бензин),197 523 км,механика,слева,белый,задний привод,Да,,,
4, Hyundai,Accent , 2015,"    5600000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),34 000 км,автомат,слева,серый,передний привод,Да,,,
5, Volkswagen,Golf , 2005,"    3000000
    ₸
",Актобе,хэтчбек,1.6 (бензин),220 000 км,автомат,слева,синий,передний привод,Да,,,
6, Hyundai,Click , 2002,"    2900000
    ₸
",Шымкент,хэтчбек,1.3 (бензин),120 000 км,автомат,слева,красный,передний привод,Да,,,
7, Nissan,Altima , 2007,"    3800000
    ₸
",Семей,седан,2.5 (газ-бензин),,автомат,слева,белый металлик,передний привод,Да,,,
8, Nissan,Teana , 2008,"    3200000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),113 000 км,автомат,справа,синий,передний привод,Нет,,,
9, Opel,Vectra , 1993,"    1200000
    ₸
",Шымкент,хэтчбек,2 (газ-бензин),,автомат,слева,бордовый металлик,передний привод,Да,,,
10, ВАЗ (Lada) , 2011,года,"    1250000
    ₸
",Актобе,седан,1.6 (бензин),153 500 км,механика,слева,,передний привод,Нет,,,
11, Mercedes-Benz,E 230 , 1990,"    1550000
    ₸
",Алматы,седан,2.3 (бензин),,механика,слева,черный,задний привод,Да,,,
12, Audi,100 , 1992,"    1800000
    ₸
",Алматы,седан,2.3 (бензин),,механика,слева,,передний привод,Да,,,
13, Volkswagen,Golf , 1992,"    750000
    ₸
",Шамалган,седан,2 (бензин),,механика,слева,красный,передний привод,Да,,Да,
14, Renault,Logan , 2015,"    3450000
    ₸
",Алматы,седан,1.6 (бензин),112 608 км,автомат,слева,черный,передний привод,Да,,,
15, Hyundai,Kona , 2018,"    8950000
    ₸
",Алматы,кроссовер,1.6 (бензин),16 000 км,робот,слева,фиолетовый,передний привод,Да,,,
16, Honda,Elysion , 2006,"    2700000
    ₸
",Алматы,минивэн,2.4 (бензин),280 км,автомат,слева,черный,передний привод,Нет,,,
17, ВАЗ (Lada),2170 (седан) , 2014,"    2350000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),122 000 км,механика,слева,,передний привод,Да,,,
18, Mitsubishi,Pajero , 2004,"    5200000
    ₸
",Костанай,внедорожник,3 (газ-бензин),30 000 км,автомат,слева,серебристый металлик,полный привод,Да,,,
19, Opel,Vectra , 1993,"    800000
    ₸
",Жалагаш,седан,1.8 (бензин),,механика,слева,фиолетовый,передний привод,Да,,,
0, Nissan,Teana , 2008,"    3200000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),113 000 км,автомат,справа,синий,передний привод,Нет,,,
1, Opel,Vectra , 1993,"    1200000
    ₸
",Шымкент,хэтчбек,2 (газ-бензин),,автомат,слева,бордовый металлик,передний привод,Да,,,
2, ВАЗ (Lada) , 2011,года,"    1250000
    ₸
",Актобе,седан,1.6 (бензин),153 500 км,механика,слева,,передний привод,Нет,,,
3, Mercedes-Benz,E 230 , 1990,"    1550000
    ₸
",Алматы,седан,2.3 (бензин),,механика,слева,черный,задний привод,Да,,,
4, Audi,100 , 1992,"    1800000
    ₸
",Алматы,седан,2.3 (бензин),,механика,слева,,передний привод,Да,,,
5, Volkswagen,Golf , 1992,"    750000
    ₸
",Шамалган,седан,2 (бензин),,механика,слева,красный,передний привод,Да,,Да,
6, Renault,Logan , 2015,"    3450000
    ₸
",Алматы,седан,1.6 (бензин),112 608 км,автомат,слева,черный,передний привод,Да,,,
7, Hyundai,Kona , 2018,"    8950000
    ₸
",Алматы,кроссовер,1.6 (бензин),16 000 км,робот,слева,фиолетовый,передний привод,Да,,,
8, Honda,Elysion , 2006,"    2700000
    ₸
",Алматы,минивэн,2.4 (бензин),280 км,автомат,слева,черный,передний привод,Нет,,,
9, ВАЗ (Lada),2170 (седан) , 2014,"    2350000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),122 000 км,механика,слева,,передний привод,Да,,,
10, Mitsubishi,Pajero , 2004,"    5200000
    ₸
",Костанай,внедорожник,3 (газ-бензин),30 000 км,автомат,слева,серебристый металлик,полный привод,Да,,,
11, Opel,Vectra , 1993,"    800000
    ₸
",Жалагаш,седан,1.8 (бензин),,механика,слева,фиолетовый,передний привод,Да,,,
12, Mazda,Familia , 2000,"    1150000
    ₸
",Нур-Султан (Астана),хэтчбек,1.5 (бензин),,автомат,справа,,передний привод,Нет,,,
13, Toyota,Carina E , 1994,"    1300000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),11 км,механика,слева,вишня металлик,передний привод,Да,GRT56RR5*R4****TE,,
14, Volkswagen,Passat , 1989,"    920000
    ₸
",Жезказган,седан,1.8 (бензин),,механика,слева,зеленый,передний привод,Да,,,
15, Volkswagen,Jetta , 2007,"    2850000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),227 500 км,автомат,слева,белый,передний привод,Да,,,
16, ВАЗ (Lada),2112 (хэтчбек) , 2006,"    800000
    ₸
",Актобе,хэтчбек,1.6 (бензин),138 000 км,механика,слева,серый,передний привод,Нет,,,
17, Mercedes-Benz,E 220 , 2001,"    2800000
    ₸
",Алматы,седан,2.1 (дизель),378 870 км,автомат,слева,черный,задний привод,Да,,,
18, Toyota,Camry , 2001,"    3100000
    ₸
",Талдыкорган,седан,3 (бензин),134 000 км,автомат,слева,серый,передний привод,Да,,,
19, Toyota,Camry , 1998,"    2600000
    ₸
",Нур-Султан (Астана),седан,3 (бензин),,автомат,слева,синий,передний привод,Да,,,
0, Audi,100 ,1992,"    1800000
    ₸
",Алматы,седан,2.3 (бензин),,механика,слева,,передний привод,Да,,,
1, Volkswagen,Golf ,1992,"    750000
    ₸
",Шамалган,седан,2 (бензин),,механика,слева,красный,передний привод,Да,,Да,
2, Renault,Logan ,2015,"    3450000
    ₸
",Алматы,седан,1.6 (бензин),112 608 км,автомат,слева,черный,передний привод,Да,,,
3, Hyundai,Kona ,2018,"    8950000
    ₸
",Алматы,кроссовер,1.6 (бензин),16 000 км,робот,слева,фиолетовый,передний привод,Да,,,
4, Honda,Elysion ,2006,"    2700000
    ₸
",Алматы,минивэн,2.4 (бензин),280 км,автомат,слева,черный,передний привод,Нет,,,
5, ВАЗ (Lada),2170 (седан) ,2014,"    2350000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),122 000 км,механика,слева,,передний привод,Да,,,
6, Mitsubishi,Pajero ,2004,"    5200000
    ₸
",Костанай,внедорожник,3 (газ-бензин),30 000 км,автомат,слева,серебристый металлик,полный привод,Да,,,
7, Opel,Vectra ,1993,"    800000
    ₸
",Жалагаш,седан,1.8 (бензин),,механика,слева,фиолетовый,передний привод,Да,,,
8, Mazda,Familia ,2000,"    1150000
    ₸
",Нур-Султан (Астана),хэтчбек,1.5 (бензин),,автомат,справа,,передний привод,Нет,,,
9, Toyota,Carina E ,1994,"    1300000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),11 км,механика,слева,вишня металлик,передний привод,Да,GRT56RR5*R4****TE,,
10, Volkswagen,Passat ,1989,"    920000
    ₸
",Жезказган,седан,1.8 (бензин),,механика,слева,зеленый,передний привод,Да,,,
11, Volkswagen,Jetta ,2007,"    2850000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),227 500 км,автомат,слева,белый,передний привод,Да,,,
12, ВАЗ (Lada),2112 (хэтчбек) ,2006,"    800000
    ₸
",Актобе,хэтчбек,1.6 (бензин),138 000 км,механика,слева,серый,передний привод,Нет,,,
13, Mercedes-Benz,E 220 ,2001,"    2800000
    ₸
",Алматы,седан,2.1 (дизель),378 870 км,автомат,слева,черный,задний привод,Да,,,
14, Toyota,Camry ,2001,"    3100000
    ₸
",Талдыкорган,седан,3 (бензин),134 000 км,автомат,слева,серый,передний привод,Да,,,
15, Toyota,Camry ,1998,"    2600000
    ₸
",Нур-Султан (Астана),седан,3 (бензин),,автомат,слева,синий,передний привод,Да,,,
16, Toyota,Camry ,2011,"    4500000
    ₸
",Актау,седан,2.5 (газ-бензин),276 804 км,автомат,слева,черный металлик,передний привод,Нет,,,
17, Volkswagen,Golf ,2003,"    2700000
    ₸
",Актау,хэтчбек,2 (бензин),248 000 км,механика,слева,серебристый,передний привод,Да,,,
18, Mercedes-Benz,E 200 ,1993,"    1500000
    ₸
",Шу,седан,2.2 (бензин),,механика,слева,черный,задний привод,Да,,,
19, Nissan,Almera ,2003,"    2000000
    ₸
",Текели,лифтбек,1.5 (дизель),,механика,слева,зеленый металлик,передний привод,Да,SJNFHAN1*U0****57,,
0, Toyota,Carina E ,1994,"    1300000
    ₸
",Нур-Султан (Астана),седан,1.6 (бензин),11 км,механика,слева,вишня металлик,передний привод,Да,GRT56RR5*R4****TE,,
1, Volkswagen,Passat ,1989,"    920000
    ₸
",Жезказган,седан,1.8 (бензин),,механика,слева,зеленый,передний привод,Да,,,
2, Volkswagen,Jetta ,2007,"    2850000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),227 500 км,автомат,слева,белый,передний привод,Да,,,
3, ВАЗ (Lada),2112 (хэтчбек) ,2006,"    800000
    ₸
",Актобе,хэтчбек,1.6 (бензин),138 000 км,механика,слева,серый,передний привод,Нет,,,
4, Mercedes-Benz,E 220 ,2001,"    2800000
    ₸
",Алматы,седан,2.1 (дизель),378 870 км,автомат,слева,черный,задний привод,Да,,,
5, Toyota,Camry ,2001,"    3100000
    ₸
",Талдыкорган,седан,3 (бензин),134 000 км,автомат,слева,серый,передний привод,Да,,,
6, Toyota,Camry ,1998,"    2600000
    ₸
",Нур-Султан (Астана),седан,3 (бензин),,автомат,слева,синий,передний привод,Да,,,
7, Toyota,Camry ,2011,"    4500000
    ₸
",Актау,седан,2.5 (газ-бензин),276 804 км,автомат,слева,черный металлик,передний привод,Нет,,,
8, Volkswagen,Golf ,2003,"    2700000
    ₸
",Актау,хэтчбек,2 (бензин),248 000 км,механика,слева,серебристый,передний привод,Да,,,
9, Mercedes-Benz,E 200 ,1993,"    1500000
    ₸
",Шу,седан,2.2 (бензин),,механика,слева,черный,задний привод,Да,,,
10, Nissan,Almera ,2003,"    2000000
    ₸
",Текели,лифтбек,1.5 (дизель),,механика,слева,зеленый металлик,передний привод,Да,SJNFHAN1*U0****57,,
11, ВАЗ (Lada),2121 Нива ,2000,"    400000
    ₸
",Атбасар,внедорожник,1.7 (бензин),,механика,слева,белый,,Да,,,
12, УАЗ,Hunter ,2006,"    499990
    ₸
",Атбасар,внедорожник,2.4 (бензин),,механика,слева,,полный привод,Да,,,
13, ВАЗ (Lada),2115 (седан) ,2006,"    800000
    ₸
",Кызылорда,седан,1.6 (бензин),180 000 км,механика,слева,черный,передний привод,Нет,,,
14, Volkswagen,Golf ,1986,"    600000
    ₸
",Казыгурт,хэтчбек,1.8 (бензин),,механика,слева,,передний привод,Да,,,
15, Audi,A6 allroad ,2004,"    4000000
    ₸
",Тараз,универсал,2.7 (бензин),320 000 км,механика,слева,,полный привод,Да,,,
16, Volvo,S80 ,2001,"    1299000
    ₸
",Актобе,седан,2.4 (бензин),199 000 км,механика,слева,серебристый,передний привод,Нет,,,
17, Mitsubishi,Space Wagon ,1993,"    1300000
    ₸
",Арысь,минивэн,2 (газ-бензин),,механика,слева,бордовый,,Да,,,
18, ГАЗ,3110 (Волга) ,2003,"    400000
    ₸
",Атбасар,седан,2.6 (бензин),,механика,слева,бежевый,,Да,,Да,
19, Hyundai,Santa Fe ,2016,"    9650000
    ₸
",Нур-Султан (Астана),кроссовер,2.4 (бензин),110 391 км,автомат,слева,белый,полный привод,Да,,,
0, ВАЗ (Lada),2115 (седан) ,2006,"    800000
    ₸
",Кызылорда,седан,1.6 (бензин),180 000 км,механика,слева,черный,передний привод,Нет,,,
1, Volkswagen,Golf ,1986,"    600000
    ₸
",Казыгурт,хэтчбек,1.8 (бензин),,механика,слева,,передний привод,Да,,,
2, Audi,A6 allroad ,2004,"    4000000
    ₸
",Тараз,универсал,2.7 (бензин),320 000 км,механика,слева,,полный привод,Да,,,
3, Volvo,S80 ,2001,"    1299000
    ₸
",Актобе,седан,2.4 (бензин),199 000 км,механика,слева,серебристый,передний привод,Нет,,,
4, Mitsubishi,Space Wagon ,1993,"    1300000
    ₸
",Арысь,минивэн,2 (газ-бензин),,механика,слева,бордовый,,Да,,,
5, ГАЗ,3110 (Волга) ,2003,"    400000
    ₸
",Атбасар,седан,2.6 (бензин),,механика,слева,бежевый,,Да,,Да,
6, Hyundai,Santa Fe ,2016,"    9650000
    ₸
",Нур-Султан (Астана),кроссовер,2.4 (бензин),110 391 км,автомат,слева,белый,полный привод,Да,,,
7, Daewoo,Nexia ,2006,"    900000
    ₸
",Туркестан,седан,1.6 (бензин),,механика,слева,,,Нет,,,
8, Daewoo,Nexia ,2012,"    1700000
    ₸
",Алматы,седан,1.5 (бензин),280 000 км,механика,слева,белый,передний привод,Да,,,
