Unnamed: 0,Brand,Model,Year,Price,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,VIN,Аварийная/Не на ходу,Двигатель
7, Toyota,Camry ,2003,"    2600000
    ₸
",Павлодар,седан,2.4 (бензин),300 000 км,автомат,слева,голубой металлик,передний привод,Нет,,,
8, Audi,A6 ,1994,"    3500000
    ₸
",Караганда,универсал,2.8 (бензин),295 000 км,автомат,слева,коричневый,полный привод,Да,,,
9, ВАЗ (Lada),2114 (хэтчбек) ,2008,"    1050000
    ₸
",Семей,хэтчбек,1.6 (бензин),103 000 км,механика,слева,серый,передний привод,Нет,,,
10, Mazda,626 ,1998,"    2350000
    ₸
",Костанай,лифтбек,1.8 (бензин),247 000 км,механика,слева,серебристый,передний привод,Да,,,
11, Lexus,RX 350 ,2008,"    10200000
    ₸
",Алматы,кроссовер,3.5 (бензин),,автомат,слева,серебристый металлик,полный привод,Да,,,
12, ВАЗ (Lada),2190 (седан) ,2019,"    4000000
    ₸
",Актау,седан,1.6 (бензин),,автомат,слева,белый,передний привод,Да,,,
13, ВАЗ (Lada),2170 (седан) ,2014,"    2700000
    ₸
",Шымкент,седан,1.6 (бензин),142 000 км,механика,слева,белый,передний привод,Да,,,
14, Audi,A6 ,1994,"    1900000
    ₸
",Шымкент,седан,2.6 (газ-бензин),306 405 км,механика,слева,красный металлик,,Да,,,
15, Mitsubishi,Lancer ,2005,"    1350000
    ₸
",Уральск,седан,1.6 (бензин),154 805 км,автомат,слева,синий,передний привод,Нет,,,
16, Toyota,Camry ,2012,"    8200000
    ₸
",Нур-Султан (Астана),седан,2.5 (бензин),169 000 км,автомат,слева,серебристый,передний привод,Да,XW7BF4FK*0S****90,,
17, Subaru,Forester ,2012,"    5100000
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),,автомат,слева,синий,полный привод,Нет,,,
18, Toyota,Land Cruiser ,2014,"    21000000
    ₸
",Алматы,внедорожник,4.6 (бензин),,автомат,слева,черный,полный привод,Да,,,
19, Mercedes-Benz,Sprinter ,2010,"    9500000
    ₸
",Алматы,фургон,2.2 (дизель),188 000 км,механика,слева,белый,задний привод,Да,,,
0, Mercedes-Benz,C 200 ,1995,"    2200000
    ₸
",Нур-Султан (Астана),седан,2 (бензин),315 000 км,автомат,слева,серебристый,задний привод,Да,,,
1, Daewoo,Nexia ,2012,"    2000000
    ₸
",Алматы,седан,1.5 (бензин),120 000 км,механика,слева,голубой,передний привод,Да,,,
2, Opel,Vectra ,1992,"    400000
    ₸
",Шымкент,седан,1.6 (бензин),,механика,слева,вишня,передний привод,Да,,Да,
3, Mazda,MPV ,2002,"    2500000
    ₸
",Актобе,минивэн,3 (бензин),120 000 км,автомат,слева,серебристый,передний привод,Нет,,,
4, Mercedes-Benz,S 350 ,2010,"    13000000
    ₸
",Алматы,седан,3.5 (бензин),140 000 км,автомат,слева,черный,задний привод,Да,,,
5, Audi,100 ,1990,"    1200000
    ₸
",Талдыкорган,седан,2.3 (бензин),,механика,слева,зеленый,передний привод,Да,,,
